# epoch	training_loss	training_acc	validation_loss	validation_acc
213	0.0293	0.9924	0.1324	0.9707
214	0.0221	0.9930	0.1352	0.9675
215	0.0225	0.9948	0.1578	0.9675
216	0.0255	0.9911	0.1501	0.9628
217	0.0279	0.9930	0.1265	0.9617
218	0.0250	0.9927	0.1144	0.9687
219	0.0204	0.9937	0.1329	0.9675
220	0.0244	0.9932	0.1287	0.9734
221	0.0240	0.9922	0.1503	0.9640
222	0.0215	0.9956	0.2203	0.9632
223	0.0248	0.9932	0.1594	0.9656
224	0.0269	0.9914	0.1407	0.9718
225	0.0242	0.9930	0.1034	0.9769
226	0.0257	0.9924	0.2183	0.9554
227	0.0289	0.9911	0.0951	0.9758
228	0.0236	0.9932	0.1308	0.9715
229	0.0213	0.9922	0.1764	0.9656
230	0.0267	0.9935	0.1338	0.9668
231	0.0170	0.9940	0.1674	0.9632
232	0.0224	0.9958	0.1691	0.9531
233	0.0203	0.9948	0.0993	0.9746
234	0.0210	0.9948	0.1460	0.9691
235	0.0243	0.9943	0.1024	0.9695
236	0.0244	0.9922	0.1930	0.9691
237	0.0234	0.9940	0.1235	0.9711
238	0.0228	0.9950	0.1658	0.9625
239	0.0209	0.9948	0.1451	0.9695
240	0.0174	0.9956	0.1364	0.9730
241	0.0250	0.9924	0.1849	0.9582
242	0.0205	0.9956	0.1456	0.9675
243	0.0220	0.9930	0.1387	0.9695
244	0.0238	0.9924	0.1604	0.9671
245	0.0231	0.9937	0.1036	0.9679
246	0.0242	0.9930	0.1442	0.9628
247	0.0187	0.9937	0.2225	0.9406
248	0.0199	0.9940	0.1098	0.9808
249	0.0240	0.9927	0.1766	0.9668
250	0.0247	0.9932	0.1438	0.9742
251	0.0292	0.9903	0.1429	0.9699
252	0.0195	0.9940	0.1177	0.9687
253	0.0157	0.9961	0.1680	0.9589
254	0.0213	0.9940	0.1474	0.9617
255	0.0227	0.9943	0.1520	0.9691
256	0.0168	0.9961	0.1758	0.9605
257	0.0214	0.9943	0.1325	0.9668
258	0.0226	0.9937	0.1584	0.9625
259	0.0152	0.9966	0.1716	0.9711
260	0.0165	0.9948	0.2241	0.9535
261	0.0167	0.9953	0.1749	0.9695
262	0.0170	0.9945	0.1446	0.9715
263	0.0155	0.9961	0.1481	0.9660
264	0.0264	0.9924	0.1631	0.9574
265	0.0208	0.9940	0.1244	0.9668
266	0.0139	0.9958	0.1373	0.9707
267	0.0150	0.9963	0.1663	0.9734
268	0.0121	0.9961	0.2705	0.9578
269	0.0246	0.9919	0.1853	0.9632
270	0.0167	0.9937	0.1455	0.9738
271	0.0195	0.9953	0.2061	0.9644
272	0.0140	0.9969	0.1766	0.9687
273	0.0152	0.9950	0.1660	0.9707
274	0.0229	0.9932	0.1866	0.9601
275	0.0173	0.9958	0.2294	0.9558
276	0.0232	0.9940	0.1621	0.9652
277	0.0197	0.9961	0.1417	0.9679
278	0.0130	0.9963	0.2027	0.9605
279	0.0161	0.9956	0.2998	0.9323
280	0.0193	0.9935	0.2134	0.9621
281	0.0210	0.9945	0.1572	0.9656
282	0.0166	0.9966	0.1726	0.9648
283	0.0142	0.9961	0.2196	0.9640
284	0.0170	0.9963	0.1473	0.9707
285	0.0140	0.9943	0.1907	0.9617
286	0.0134	0.9950	0.1893	0.9656
287	0.0127	0.9963	0.2017	0.9683
288	0.0170	0.9927	0.1642	0.9754
289	0.0195	0.9950	0.1756	0.9648
290	0.0118	0.9977	0.1369	0.9675
291	0.0129	0.9956	0.1612	0.9718
292	0.0165	0.9961	0.1976	0.9484
293	0.0153	0.9950	0.1343	0.9675
294	0.0156	0.9950	0.1414	0.9695
295	0.0112	0.9969	0.1553	0.9671
296	0.0156	0.9961	0.1620	0.9660
297	0.0220	0.9927	0.1523	0.9679
298	0.0121	0.9963	0.2193	0.9613
299	0.0171	0.9958	0.1314	0.9711
300	0.0138	0.9953	0.1906	0.9656
301	0.0089	0.9974	0.2028	0.9668
302	0.0154	0.9953	0.2617	0.9578
303	0.0154	0.9932	0.2132	0.9589
304	0.0205	0.9950	0.1289	0.9660
305	0.0146	0.9961	0.2316	0.9578
306	0.0165	0.9956	0.1826	0.9621
307	0.0138	0.9948	0.1590	0.9707
308	0.0137	0.9963	0.1649	0.9613
309	0.0187	0.9956	0.1875	0.9496
310	0.0068	0.9982	0.2165	0.9601
311	0.0166	0.9943	0.1591	0.9660
312	0.0083	0.9974	0.2041	0.9707
313	0.0124	0.9974	0.1484	0.9715
314	0.0132	0.9969	0.1924	0.9628
315	0.0153	0.9953	0.1445	0.9664
316	0.0166	0.9945	0.1879	0.9628
317	0.0161	0.9963	0.2147	0.9601
318	0.0097	0.9969	0.2005	0.9683
319	0.0103	0.9963	0.1794	0.9683
320	0.0170	0.9950	0.1505	0.9715
321	0.0135	0.9969	0.1923	0.9609
322	0.0127	0.9956	0.1726	0.9683
323	0.0156	0.9956	0.1459	0.9707
324	0.0146	0.9945	0.1771	0.9664
325	0.0068	0.9982	0.1749	0.9664
326	0.0153	0.9958	0.1807	0.9648
327	0.0105	0.9969	0.1716	0.9691
328	0.0141	0.9956	0.2263	0.9582
329	0.0166	0.9961	0.3531	0.9261
330	0.0136	0.9961	0.1716	0.9621
331	0.0093	0.9969	0.1462	0.9715
332	0.0191	0.9958	0.1740	0.9648
333	0.0125	0.9966	0.1458	0.9687
334	0.0083	0.9971	0.1558	0.9718
335	0.0113	0.9974	0.1535	0.9652
336	0.0136	0.9950	0.1758	0.9679
337	0.0120	0.9958	0.1542	0.9691
338	0.0097	0.9971	0.1965	0.9656
339	0.0109	0.9971	0.1682	0.9695
340	0.0084	0.9984	0.1403	0.9722
341	0.0148	0.9953	0.1578	0.9628
342	0.0112	0.9958	0.1472	0.9758
343	0.0115	0.9948	0.1802	0.9703
344	0.0045	0.9982	0.2410	0.9609
345	0.0121	0.9961	0.1449	0.9699
346	0.0175	0.9977	0.1682	0.9679
347	0.0111	0.9963	0.1327	0.9742
348	0.0088	0.9971	0.1598	0.9707
349	0.0086	0.9971	0.2058	0.9621
350	0.0107	0.9969	0.1576	0.9707
351	0.0155	0.9948	0.2397	0.9617
352	0.0110	0.9969	0.1959	0.9691
353	0.0096	0.9979	0.4380	0.9265
354	0.0205	0.9961	0.2064	0.9570
355	0.0066	0.9977	0.1549	0.9707
356	0.0085	0.9969	0.2218	0.9617
357	0.0104	0.9963	0.1601	0.9726
358	0.0123	0.9958	0.2049	0.9679
359	0.0078	0.9974	0.3358	0.9343
360	0.0105	0.9971	0.1597	0.9656
361	0.0072	0.9974	0.1534	0.9746
362	0.0156	0.9950	0.1429	0.9683
363	0.0144	0.9961	0.1855	0.9695
364	0.0072	0.9971	0.2364	0.9554
365	0.0080	0.9977	0.1946	0.9683
366	0.0169	0.9963	0.1251	0.9742
367	0.0082	0.9971	0.1531	0.9726
368	0.0071	0.9982	0.1628	0.9746
369	0.0043	0.9984	0.2308	0.9593
370	0.0109	0.9953	0.1695	0.9699
371	0.0157	0.9950	0.1562	0.9703
372	0.0097	0.9969	0.1508	0.9730
373	0.0059	0.9984	0.1765	0.9726
374	0.0116	0.9958	0.1804	0.9652
375	0.0059	0.9977	0.2421	0.9621
376	0.0127	0.9966	0.1599	0.9734
377	0.0117	0.9971	0.1449	0.9695
378	0.0074	0.9974	0.2152	0.9632
379	0.0103	0.9969	0.1642	0.9730
380	0.0059	0.9969	0.2393	0.9699
381	0.0060	0.9974	0.2311	0.9671
382	0.0079	0.9979	0.2458	0.9675
383	0.0075	0.9971	0.1831	0.9660
384	0.0119	0.9971	0.1712	0.9738
385	0.0052	0.9990	0.1834	0.9691
